id,genre_id
11,12
11,28
11,878
12,16
12,10751
13,35
13,18
13,10749
22,12
22,14
22,28
35,16
35,35
35,10751
38,878
38,18
38,10749
58,12
58,14
58,28
78,878
78,18
78,53
85,12
85,28
98,28
98,18
98,12
101,80
101,18
101,28
103,80
103,18
105,12
105,35
105,878
111,28
111,80
111,18
118,12
118,35
118,10751
118,14
120,12
120,14
120,28
121,12
121,14
121,28
122,12
122,14
122,28
129,16
129,10751
129,14
155,18
155,28
155,80
155,53
162,14
162,18
162,10749
170,27
170,53
170,878
218,28
218,53
218,878
238,18
238,80
240,18
240,80
268,14
268,28
268,80
272,28
272,80
272,18
278,18
278,80
285,12
285,14
285,28
311,18
311,80
348,27
348,878
408,14
408,16
408,10751
411,12
411,10751
411,14
424,18
424,36
424,10752
425,16
425,35
425,10751
425,12
489,18
497,14
497,18
497,80
508,35
508,10749
508,18
550,18
557,28
557,878
559,28
559,12
559,878
562,28
562,53
564,12
564,28
564,14
585,16
585,35
585,10751
597,18
597,10749
603,28
603,878
630,12
630,14
630,10751
640,18
640,80
652,12
652,36
652,10752
671,12
671,14
672,12
672,14
673,12
673,14
674,12
674,14
675,12
675,14
679,28
679,53
679,878
680,53
680,80
744,28
744,18
767,12
767,14
769,18
769,80
772,35
772,10751
772,12
807,80
807,9648
807,53
808,16
808,35
808,14
808,12
808,10751
809,16
809,10751
809,35
809,14
809,12
810,14
810,12
810,16
810,35
810,10751
854,10749
854,35
854,80
854,14
863,16
863,35
863,10751
949,80
949,18
949,28
950,16
950,10751
950,35
950,12
953,10751
953,16
953,12
953,35
1124,18
1124,9648
1124,878
1265,12
1265,18
1265,10751
1402,18
1495,18
1495,28
1495,12
1495,36
1495,10752
1562,27
1562,53
1562,878
1573,28
1573,53
1579,28
1579,18
1579,36
1581,35
1581,10749
1585,18
1585,10751
1585,14
1621,35
1726,28
1726,878
1726,12
1865,12
1865,28
1865,14
1930,28
1930,12
1930,878
2062,16
2062,35
2062,10751
2062,14
2105,35
2105,10749
2109,28
2109,35
2109,80
3933,10749
3933,14
3933,16
4011,14
4011,35
4247,35
4348,18
4348,10749
4909,28
4909,53
4935,14
4935,16
4935,12
5255,16
5255,12
5255,10751
5255,14
5492,28
5492,53
5492,80
5825,35
6479,18
6479,878
6479,53
7451,28
7451,12
7451,53
7451,80
8292,28
8292,80
8355,16
8355,35
8355,10751
8355,12
8363,35
8681,28
8681,53
8871,10751
8871,35
8871,14
8920,35
8920,10751
8966,14
8966,18
8966,10749
9021,14
9021,35
9021,10751
9279,10751
9279,35
9279,12
9479,14
9479,16
9479,10751
9487,10751
9487,16
9487,12
9487,35
9502,28
9502,12
9502,16
9502,10751
9502,35
9714,35
9714,10751
9732,10751
9732,12
9732,16
9732,28
9806,28
9806,12
9806,16
9806,10751
9820,35
9820,10751
9820,10749
10020,10749
10020,10751
10020,16
10020,14
10138,12
10138,28
10138,878
10191,14
10191,12
10191,16
10191,10751
10192,35
10192,12
10192,14
10192,16
10192,10751
10193,16
10193,10751
10193,35
10195,12
10195,14
10195,28
10198,16
10198,10749
10198,14
10198,10751
10510,14
10510,18
10510,10751
10591,35
10591,10749
10625,18
10625,35
10674,16
10674,10751
